trial_number,stimulus,lexicality,duration
0,kitten,word,0.2
1,island,word,0.04
2,river,word,0.2
3,gardon,pseudoword,0.2
4,strean,pseudoword,0.04
5,cheese,word,0.2
6,hammer,word,0.04
7,stome,pseudoword,0.2
8,forest,word,0.04
9,flomer,pseudoword,0.2
10,island,word,0.2
11,river,word,0.04
12,desern,pseudoword,0.04
13,perlun,pseudoword,0.2
14,kitten,word,0.04
15,window,word,0.2
16,stome,pseudoword,0.04
17,candle,word,0.04
18,perlun,pseudoword,0.04
19,morle,pseudoword,0.2
20,cheese,word,0.04
21,tible,pseudoword,0.2
22,sugar,word,0.04
23,jacket,word,0.04
24,desern,pseudoword,0.2
25,candle,word,0.2
26,strean,pseudoword,0.2
27,hammer,word,0.2
28,hause,pseudoword,0.2
29,sugar,word,0.2
30,waper,pseudoword,0.04
31,window,word,0.04
32,hause,pseudoword,0.04
33,gardon,pseudoword,0.04
34,tible,pseudoword,0.04
35,forest,word,0.2
36,waper,pseudoword,0.2
37,morle,pseudoword,0.04
38,jacket,word,0.2
39,flomer,pseudoword,0.04
