trial_number,stimulus,lexicality,duration,response,RT,accuracy
0,morle,pseudoword,0.2,0,0.225294989,1
1,desern,pseudoword,0.2,0,0.198100669,1
2,forest,word,0.2,1,0.191521173,1
3,gardon,pseudoword,0.04,0,0.373824491,1
4,hause,pseudoword,0.2,0,0.198301806,1
5,hammer,word,0.2,1,0.280245983,1
6,strean,pseudoword,0.04,0,0.320755855,1
7,forest,word,0.04,1,0.544222993,1
8,waper,pseudoword,0.2,0,0.271493588,1
9,flomer,pseudoword,0.04,0,0.398780392,1
10,hammer,word,0.04,1,0.447178674,1
11,cheese,word,0.2,1,0.309935055,1
12,kitten,word,0.2,1,0.279397098,1
13,perlun,pseudoword,0.2,0,0.20212073,1
14,stome,pseudoword,0.04,0,0.323802265,1
15,tible,pseudoword,0.2,0,0.198658396,1
16,jacket,word,0.2,1,0.286315597,1
17,candle,word,0.04,1,0.447837803,1
18,sugar,word,0.04,1,0.406269528,1
19,strean,pseudoword,0.2,0,0.176798678,1
20,sugar,word,0.2,1,0.239601283,1
21,gardon,pseudoword,0.2,0,0.187179959,1
22,waper,pseudoword,0.04,0,0.516099248,1
23,kitten,word,0.04,1,0.410636291,1
24,island,word,0.2,1,0.228393586,1
25,hause,pseudoword,0.04,0,0.461816492,1
26,stome,pseudoword,0.2,0,0.169277189,1
27,tible,pseudoword,0.04,0,0.248947273,1
28,window,word,0.04,1,0.414877401,1
29,jacket,word,0.04,1,0.387765292,1
30,flomer,pseudoword,0.2,0,0.155277202,1
31,perlun,pseudoword,0.04,0,0.286204037,1
32,cheese,word,0.04,1,0.348820794,1
33,river,word,0.2,0,0.171938184,0
34,morle,pseudoword,0.04,0,0.366893767,1
35,river,word,0.04,0,0.40694087,0
36,desern,pseudoword,0.04,0,0.432583965,1
37,window,word,0.2,1,0.229826879,1
38,candle,word,0.2,1,0.244094213,1
39,island,word,0.04,1,0.398235441,1
